Area,Price,Type,Size
Devanahalli,1.35 Cr,Residential Plot,2490 sqft
Kanakapura Road,86.9 Lac,3 BHK 1665 Sq-ft Flat,1665 sqft
Hesaraghatta Main Road,52.6 Lac,3 BHK 1210 Sq-ft Flat,1210 sqft
Whitefield,70.0 Lac,2 BHK 1390 Sq-ft Flat,1390 sqft
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur Road,23.4 Lac,Residential Plot,1200 sqft
Hulimavu,75.9 Lac,3 BHK 1576 Sq-ft Flat,1576 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Devanahalli,45.0 Lac,Residential Plot,1500 sqft
Harlur,68.3 Lac,2 BHK 1234 Sq-ft Flat,1234 sqft
Old Madras Road,1.09 Cr,3 BHK 1916 Sq-ft Flat,1916 sqft
Devanahalli,60.0 Lac,3 BHK 1145 Sq-ft Flat,1145 sqft
Sarjapur Road,3.08 Cr,4 BHK Villa,3026 sqft
Yelahanka,70.7 Lac,2 BHK 1378 Sq-ft Flat,970 sqft
Hoskote,22.5 Lac,Residential Plot,1500 sqft
Uttarahalli,45.0 Lac,2 BHK 1000 Sq-ft Flat,1000 sqft
RT Nagar,2.39 Cr,3 BHK 2030 Sq-ft Flat,2030 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,64.8 Lac,Residential Plot,2400 sqft
Rajarajeshwari Nagar,66.5 Lac,3 BHK 1370 Sq-ft Flat,1370 sqft
Jalahalli,93.6 Lac,3 BHK 1584 Sq-ft Flat,1584 sqft
Hoodi Circle,1.13 Cr,3 BHK 1812 Sq-ft Flat,1812 sqft
Whitefield,1.0 Cr,3 BHK 1604 Sq-ft Flat,1604 sqft
Electronic City,30.3 Lac,2 BHK 648 Sq-ft Flat,648 sqft
Whitefield,1.23 Cr,3 BHK 1724 Sq-ft Flat,1724 sqft
Sarjapur Road,63.1 Lac,3 BHK 1440 Sq-ft Flat,1440 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Kadugodi,55.5 Lac,2 BHK 1155 Sq-ft Flat,1155 sqft
Thanisandra,89.1 Lac,3 BHK 2172 Sq-ft Flat,2172 sqft
Thanisandra Main Road,78.6 Lac,2 BHK 1183 Sq-ft Flat,1183 sqft
Binnypete,1.22 Cr,2 BHK 1245 Sq-ft Flat,1245 sqft
Sarjapur Road,70.0 Lac,2 BHK 1244 Sq-ft Flat,1244 sqft
Malleshwaram,4.40 Cr,4 BHK 3102 Sq-ft Flat,3102 sqft
Sarjapur Road,65.2 Lac,3 BHK 1384 Sq-ft Flat,1384 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1052 Sq-ft Flat,1052 sqft
Bellandur,92.2 Lac,3 BHK 1726 Sq-ft Flat,1250 sqft
JP Nagar Phase 8,89.5 Lac,3 BHK 1636 Sq-ft Flat,1400 sqft
Whitefield,1.13 Cr,3 BHK 1765 Sq-ft Flat,1765 sqft
Jigani,38.4 Lac,Residential Plot,2400 sqft
Hebbal,3.25 Cr,4 BHK 3124 Sq-ft Flat,3124 sqft
Thanisandra Main Road,1.75 Cr,4 BHK 2502 Sq-ft Flat,2502 sqft
Nandi hills,27.1 Lac,Residential Plot,1200 sqft
Electronics City Phase 1,58.3 Lac,2 BHK 1170 Sq-ft Flat,1170 sqft
Attibele,19.2 Lac,2 BHK 656 Sq-ft Flat,656 sqft
Yeshwantpur,1.39 Cr,3 BHK 1795 Sq-ft Flat,1795 sqft
Kanakapura Road,1.14 Cr,2 BHK 1296 Sq-ft Flat,1296 sqft
Mysore Road,1.09 Cr,3 BHK 1570 Sq-ft Flat,1400 sqft
Whitefield,35.8 Lac,2 BHK 1025 Sq-ft Flat,1025 sqft
Whitefield,87.5 Lac,3 BHK 1425 Sq-ft Flat,1425 sqft
Mysore Road,80.0 Lac,2 BHK 1195 Sq-ft Flat,1195 sqft
Electronic City,11.8 Lac,1 BHK 575 Sq-ft Flat,575 sqft
Gottigere,66.4 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Old Madras Road,69.0 Lac,3 BHK 1482 Sq-ft Flat,1482 sqft
JP Nagar 9th Phase,83.2 Lac,3 BHK 1831 Sq-ft Flat,1831 sqft
Sarjapur Road,66.1 Lac,2 BHK 1145 Sq-ft Flat,1145 sqft
Sarjapur,1.29 Cr,3 BHK Villa,2043 sqft
Whitefield,99.4 Lac,3 BHK 1657 Sq-ft Flat,1657 sqft
Whitefield,40.0 Lac,2 BHK 1000 Sq-ft Flat,1000 sqft
K R Puram,73.2 Lac,3 BHK 1405 Sq-ft Flat,1405 sqft
JP Nagar Phase 5,93.5 Lac,3 BHK 189 Sq-m Flat,189 sqm
Sarjapur Road,1.85 Cr,4 BHK Villa,3430 sqft
Sarjapur,32.6 Lac,Residential Plot,2100 sqft
Hennur Main Road,32.9 Lac,2 BHK 915 Sq-ft Flat,915 sqft
K R Puram,34.3 Lac,1 BHK 851 Sq-ft Flat,851 sqft
Nandi hills,58.5 Lac,Residential Plot,3000 sqft
Mysore Road,53.9 Lac,3 BHK 1348 Sq-ft Flat,1348 sqft
Kanakapura Road,77.4 Lac,3 BHK 1515 Sq-ft Flat,1515 sqft
Whitefield,1.94 Cr,4 BHK Villa,2954 sqft
Amrutahalli,88.1 Lac,3 BHK 1411 Sq-ft Flat,1411 sqft
Singasandra,65.0 Lac,3 BHK 1320 Sq-ft Flat,1150 sqft
Kogilu,55.8 Lac,2 BHK 1115 Sq-ft Flat,1115 sqft
Whitefield,1.02 Cr,3 BHK 1759 Sq-ft Flat,1759 sqft
Hosa Road,54.5 Lac,3 BHK 1360 Sq-ft Flat,1360 sqft
Whitefield,69.9 Lac,2 BHK 1134 Sq-ft Flat,738 sqft
Rajarajeshwari Nagar,64.9 Lac,3 BHK 1530 Sq-ft Flat,1400 sqft
K R Puram,40.4 Lac,2 BHK 1155 Sq-ft Flat,1155 sqft
Kanakapura Road,63.0 Lac,2 BHK 1145 Sq-ft Flat,1145 sqft
Kaggadasapura,64.8 Lac,2 BHK 1300 Sq-ft Flat,1300 sqft
Sarjapur Road,21.6 Lac,Residential Plot,1200 sqft
Whitefield,68.0 Lac,2 BHK 1185 Sq-ft Flat,1185 sqft
Whitefield,55.0 Lac,2 BHK 1315 Sq-ft Flat,1315 sqft
Kadugodi,39.0 Lac,2 BHK 1055 Sq-ft Flat,1055 sqft
Yelahanka,61.2 Lac,3 BHK 1380 Sq-ft Flat,1380 sqft
Kanakapura Road,46.0 Lac,3 BHK 1330 Sq-ft Flat,1330 sqft
Bannerghatta Road,43.9 Lac,2 BHK 1100 Sq-ft Flat,1100 sqft
Electronics City Phase 1,30.2 Lac,2 BHK 1005 Sq-ft Flat,1005 sqft
Whitefield,62.2 Lac,2 BHK 1131 Sq-ft Flat,1131 sqft
Devanahalli,11.2 Lac,Residential Plot,1500 sqft
Koramangala,1.78 Cr,3 BHK Flat,1084 sqft
Whitefield,82.4 Lac,3 BHK 1653 Sq-ft Flat,1653 sqft
Yelahanka,15.0 Lac,Residential Plot,750 sqft
Kanakapura Road,73.4 Lac,3 BHK 1726 Sq-ft Flat,1726 sqft
Electronics City Phase 1,50.2 Lac,3 BHK 1500 Sq-ft Flat,1500 sqft
Jakkur,1.14 Cr,3 BHK 1858 Sq-ft Flat,1858 sqft
Mysore Road,71.1 Lac,3 BHK 1735 Sq-ft Flat,1735 sqft
Tumkur Road,77.7 Lac,3 BHK Flat,1108 sqft
Kogilu,43.4 Lac,2 BHK 1010 Sq-ft Flat,1010 sqft
Kanakapura Road,50.7 Lac,2 BHK 1080 Sq-ft Flat,1080 sqft
Devanahalli,43.2 Lac,Residential Plot,134 sqm
Horamavu,48.5 Lac,2 BHK 1031 Sq-ft Flat,1031 sqft
Bannerghatta Road,48.8 Lac,1 BHK 805 Sq-ft Flat,805 sqft
Bannerghatta Road,55.3 Lac,3 BHK 1430 Sq-ft Flat,1300 sqft
Kudlu Gate,91.2 Lac,3 BHK 1230 Sq-ft Flat,1230 sqft
Vidyaranyapura,55.7 Lac,2 BHK 1215 Sq-ft Flat,1215 sqft
Marathahalli,1.26 Cr,3 BHK 1609 Sq-ft Flat,1609 sqft
Sarjapur Road,2.12 Cr,4 BHK Villa,2629 sqft
Sarjapur,84.5 Lac,4 BHK Villa,2182 sqft
Electronic City,87.7 Lac,3 BHK 1691 Sq-ft Flat,1138 sqft
Horamavu,58.0 Lac,2 BHK 1211 Sq-ft Flat,1211 sqft
Tumkur Road,46.8 Lac,Residential Plot,1800 sqft
Electronic City,30.0 Lac,Residential Plot,1500 sqft
Sarjapur,36.0 Lac,2 BHK 1017 Sq-ft Flat,1017 sqft
Chandapura,1.16 Cr,Residential Plot,4000 sqft
Sarjapur Road,30.9 Lac,2 BHK 883 Sq-ft Flat,883 sqft
Sarjapur Road,57.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Kanakapura Road,79.0 Lac,3 BHK Villa,2000 sqft
Old Airport Road,1.06 Cr,3 BHK 1700 Sq-ft Flat,1700 sqft
Begur Road,44.0 Lac,2 BHK 946 Sq-ft Flat,615 sqft
Whitefield,1.70 Cr,3 BHK 2170 Sq-ft Flat,1403 sqft
Whitefield,80.0 Lac,2 BHK 1230 Sq-ft Flat,1000 sqft
Doddakallasandra,46.0 Lac,2 BHK 1072 Sq-ft Flat,872 sqft
Hebbal,2.84 Cr,3 BHK 3900 Sq-ft Flat for Sale in Hebbal,3900 sqft
Sarjapur-Attibele Road,75.1 Lac,3 BHK Villa,1625 sqft
Whitefield,74.9 Lac,3 BHK Villa,1826 sqft
JP Nagar,1.45 Cr,3 BHK 1622 Sq-ft Flat for Sale in Near Renault Showroom,1500 sqft
Begur Road,65.0 Lac,3 BHK Flat,1624 sqft
Vasanth Nagar,3.20 Cr,3 BHK 1800 Sq-ft Flat,1500 sqft
Sarjapur Road,98.2 Lac,3 BHK 1560 Sq-ft Flat,1560 sqft
Sarjapur Road,68.6 Lac,3 BHK 1572 Sq-ft Flat,1572 sqft
Whitefield,56.0 Lac,2 BHK 1113 Sq-ft Flat,1113 sqft
Electronics City Phase 1,68.6 Lac,2 BHK 1248 Sq-ft Flat,1248 sqft
Outer Ring Road,2.64 Cr,4 BHK 3660 Sq-ft Flat,3660 sqft
Kundalahalli,80.3 Lac,3 BHK 1575 Sq-ft Flat for Sale in Kundalahalli,1575 sqft
Begur Road,36.0 Lac,Residential Plot,1200 sqft
Panathur,52.8 Lac,3 BHK 1230 Sq-ft Flat,1230 sqft
Bannerghatta Road,70.1 Lac,3 BHK 1492 Sq-ft Flat,1492 sqft
Bannerghatta Road,66.1 Lac,2 BHK 865 Sq-ft Flat,865 sqft
Kanakapura Road,42.2 Lac,1 BHK 850 Sq-ft Flat,850 sqft
Devanahalli,10.8 Lac,Residential Plot,1200 sqft
Whitefield,37.1 Lac,2 BHK 1060 Sq-ft Flat,1060 sqft
Marathahalli,77.1 Lac,3 BHK 1637 Sq-ft Flat,1637 sqft
Sarjapur Road,55.2 Lac,Residential Plot,1200 sqft
Nagarbhavi,68.0 Lac,3 BHK 1287 Sq-ft Flat,1287 sqft
Marathahalli,70.7 Lac,3 BHK 1645 Sq-ft Flat,1645 sqft
Kengeri,63.5 Lac,3 BHK 1670 Sq-ft Flat,1670 sqft
Panathur,64.4 Lac,2 BHK 1200 Sq-ft Flat,900 sqft
Hebbal Kempapura,2.50 Cr,3 BHK 2900 Sq-ft Flat,2500 sqft
Sarjapur Road,23.5 Lac,1 BHK 695 Sq-ft Flat,550 sqft
JP Nagar,1.42 Cr,3 BHK 1838 Sq-ft Flat,1838 sqft
Hebbal,3.80 Cr,3 BHK 3670 Sq-ft Flat,3670 sqft
Ramamurthy Nagar,44.8 Lac,2 BHK 100 Sq-m Flat,100 sqm
Kasavanahalli,91.0 Lac,3 BHK 1798 Sq-ft Flat for Sale in Kasavanahalli,1798 sqft
Hennur Main Road,1.36 Cr,3 BHK 2203 Sq-ft Flat,1652 sqft
Rajiv Gandhi Nagar -Kodigehalli,74.0 Lac,2 BHK Flat,1200 sqft
Mahadevapura,66.7 Lac,2 BHK 1237 Sq-ft Flat,1237 sqft
Electronics City Phase 1,1.45 Cr,4 BHK Villa,2632 sqft
Doddakannelli,56.0 Lac,2 BHK Builder Floor,900 sqft
Hennur Main Road,81.0 Lac,3 BHK 1700 Sq-ft Flat,1700 sqft
Whitefield,92.4 Lac,3 BHK 1655 Sq-ft Flat,1159 sqft
Thanisandra Main Road,58.0 Lac,2 BHK 1168 Sq-ft Flat,1168 sqft
Konanakunte,90.0 Lac,2 BHK 1296 Sq-ft Flat for Sale in Konanakunte,1040 sqft
Kadugodi,67.5 Lac,3 BHK Builder Floor,1256 sqft
Malleshwaram,2.40 Cr,3 BHK 2050 Sq-ft Flat,1800 sqft
Hebbal,2.80 Cr,3 BHK 2526 Sq-ft Flat,1894 sqft
Jakkuru Layout,80.3 Lac,3 BHK 1678 Sq-ft Flat,1678 sqft
Rayasandra,41.5 Lac,2 BHK 1170 Sq-ft Flat,1170 sqft
Hosa Halli,75.0 Lac,3 BHK Flat,1451 sqft
Sarjapur Road,1.0 Cr,3 BHK 1798 Sq-ft Flat,1348 sqft
Old Madras Road,1.65 Cr,3 BHK 2990 Sq-ft Flat,2392 sqft
Hennur,2.50 Cr,4 BHK Villa,2467 sqft
Hosa Road,1.37 Cr,3 BHK 1530 Sq-ft Flat,1110 sqft
Hutchins Road,70.0 Lac,2 BHK 1100 Sq-ft Flat for Sale in Hutchins Road,900 sqft
HRBR Layout,67.9 Lac,2 BHK Builder Floor,783 sqft
Kodathi,39.3 Lac,1 BHK 684 Sq-ft Flat,478 sqft
Spice garden Layout,71.5 Lac,2 BHK 1135 Sq-ft Flat,795 sqft
Attibele,68.0 Lac,3 BHK Villa,1500 sqft
Sarjapur Road,1.86 Cr,4 BHK Villa,2450 sqft
Kasavanahalli,1.83 Cr,4 BHK 3010 Sq-ft Flat,2700 sqft
Whitefield,49.8 Lac,1 BHK 799 Sq-ft Flat,451 sqft
Hoodi Cirle,2.50 Cr,4 BHK 2949 Sq-ft Flat,2064 sqft
Bommanahalli,34.4 Lac,2 BHK Builder Floor,724 sqft
Bidadi,19.8 Lac,1 BHK 550 Sq-ft Flat,400 sqft
Sarjapur Road,80.4 Lac,3 BHK 1477 Sq-ft Flat,1477 sqft
Hosa Road Junction,37.0 Lac,2 BHK Builder Floor,812 sqft
Nagasandra,73.5 Lac,3 BHK 1633 Sq-ft Flat,1155 sqft
Nagavara,2.0 Cr,3 BHK 2388 Sq-ft Flat,1850 sqft
Kenchenahalli-RR Nagar,65.0 Lac,3 BHK 1530 Sq-ft Flat for Sale in Kenchenahalli-RR Nagar,1300 sqft
Varthur,38.5 Lac,2 BHK 1020 Sq-ft Flat,900 sqft
Devanahalli,49.0 Lac,2 BHK Villa,1000 sqft
Thanisandra,70.0 Lac,2 BHK 1056 Sq-ft Flat,940 sqft
Hosur Road,49.1 Lac,2 BHK 1156 Sq-ft Flat for Sale in Hosur Road,925 sqft
Sarjapur Road,75.7 Lac,3 BHK 1335 Sq-ft Flat,896 sqft
Sarjapur Road,1.15 Cr,3 BHK 1813 Sq-ft Flat,1700 sqft
Electronic City,56.8 Lac,3 BHK 1395 Sq-ft Flat for Sale in yarandhalli,1265 sqft
Varthur,46.0 Lac,3 BHK 1150 Sq-ft Flat,920 sqft
Whitefield,2.55 Cr,4 BHK 3122 Sq-ft Flat,2250 sqft
Ramagondanahalli-Whitefield,67.5 Lac,2 BHK 1306 Sq-ft Flat,1005 sqft
Ramamurthy Nagar,48.2 Lac,2 BHK 1068 Sq-ft Flat for Sale in Ramamurthy Nagar,1068 sqft
Nagarbhavi,63.2 Lac,3 BHK 1506 Sq-ft Flat,1506 sqft
Hebbal,1.44 Cr,3 BHK Villa,1768 sqft
Kadugodi,75.3 Lac,3 BHK 1670 Sq-ft Flat for Sale in Kadugodi,1500 sqft
Varthur,75.0 Lac,2 BHK 1030 Sq-ft Flat/Apartment for Sale in Varthur,900 sqft
Jivanahalli,75.0 Lac,2 BHK Flat for sale in Jivanahalli,1050 sqft
Banaswadi,45.0 Lac,2 BHK Flat for sale in Banaswadi,900 sqft
Devanahalli,13.1 Lac,Residential Plot,1500 sqft
ITPL,48.0 Lac,Residential Plot,1200 sqft
Devanahalli,83.0 Lac,3 BHK 1630 Sq-ft Flat,1141 sqft
AECS Layout,48.0 Lac,2 BHK 1170 Sq-ft Flat for Sale in AECS Layout Block A,1170 sqft
Indira Nagar,3.28 Cr,3 BHK 2464 Sq-ft Flat,1824 sqft
Ambalipura,1.15 Cr,3 BHK 1830 Sq-ft Flat,1600 sqft
VISL layout,60.0 Lac,2 BHK 1220 Sq-ft Flat,915 sqft
maruthi Nagar-Yelahanka,39.9 Lac,2 BHK 940 Sq-ft Flat,729 sqft
Electronic City,35.0 Lac,2 BHK 1089 Sq-ft Flat,1089 sqft
Whitefield,4.0 Cr,4 BHK Villa,453767 sqft
Ambalipura,2.40 Cr,4 BHK Villa,2750 sqft
Chikkalasandra,76.0 Lac,3 BHK Builder Floor,1450 sqft
Hennur,95.0 Lac,3 BHK 1570 Sq-ft Flat/Apartment for Sale in Hennur,1570 sqft
Kaggadasapura,63.0 Lac,3 BHK Flat for sale in Kaggadasapura,1368 sqft
Budigere Cross,72.0 Lac,3 BHK 1225 Sq-ft Flat/Apartment for Sale in Budigere Cross,862 sqft
Thanisandra Main Road,68.0 Lac,2 BHK Flat for sale in Thanisandra Main Road,985 sqft
Ashirvad Colony,52.0 Lac,2 BHK Builder Floor,1000 sqft
Yelahanka,1.20 Cr,3 BHK 2159 Sq-ft Flat,2000 sqft
Nandini Layout,2.20 Cr,3 BHK Residential House,2900 sqft
JP Nagar Phase 8,44.8 Lac,2 BHK 1020 Sq-ft Flat for Sale in JP Nagar Phase 8,950 sqft
Hebbal Kempapura,2.0 Cr,3 BHK 2444 Sq-ft Flat for Sale in Hebbal Kempapura,2000 sqft
Belatur,66.0 Lac,3 BHK Builder Floor,1054 sqft
Horamavu,65.0 Lac,3 BHK Flat for sale in Horamavu,980 sqft
Kothanur,90.0 Lac,3 BHK Flat for sale in Kothanur,1290 sqft
Amrutahalli,53.0 Lac,2 BHK Flat for sale in Amrutahalli,900 sqft
HMT Layout -Vidyaranyapura,58.0 Lac,2 BHK 1090 Sq-ft Flat/Apartment for Sale in HMT Layout -Vidyaranyapura,940 sqft
Neeladri nagar,67.5 Lac,2 BHK 1350 Sq-ft Flat/Apartment for Sale in Neeladri nagar,900 sqft
Bannerghatta Road,1.20 Cr,2 BHK Flat for sale in Bannerghatta Main Road,1157 sqft
Singapura,1.12 Cr,Residential Plot,2400 sqft
Horamavu,1.35 Cr,3 BHK Flat for sale in Horamavu,1756 sqft
Kaval Byrasandra,55.0 Lac,2 BHK 1250 Sq-ft Flat/Apartment for Sale in Kaval Byrasandra,1100 sqft
Hennur Main Road,1.80 Cr,3 BHK Flat for sale in Hennur Main Road,2350 sqft
Anekal,33.1 Lac,3 BHK Flat for sale in Anekal,744 sqft
Babusahib Palya,45.0 Lac,2 BHK Flat for sale in Babusahib Palya,1250 sqft
Devanahalli,49.0 Lac,2 BHK Flat for sale in Devanahalli,1010 sqft
Sarjapur,42.0 Lac,2 BHK Builder Floor,984 sqft
Hosur Road,90.0 Lac,3 BHK Flat for sale in Hosur Road,2040 sqft
Bidrahalli,25.2 Lac,Residential Plot,1200 sqft
Sarjapur,48.0 Lac,Residential Plot,1453 sqft
Sarjapur,1.20 Cr,Residential Plot,4000 sqft
Sadaramanagala,63.0 Lac,2 BHK 1274 Sq-ft Flat/Apartment for Sale in Sadaramanagala,1274 sqft
Electronic City Phase 2,85.0 Lac,3 BHK Flat for sale in Electronic City Phase 2,1450 sqft
Ejipura,70.0 Lac,2 BHK Flat for sale in Ejipura,775 sqft
Hosur Road,65.0 Lac,Residential Plot,2325 sqft
Mahalakshmipuram,1.50 Cr,3 BHK Flat for sale in Mahalakshmipuram,1745 sqft
Marathahalli-Sarjapur Outer Ring Road,87.0 Lac,2 BHK 1260 Sq-ft Flat/Apartment for Sale in Marathahalli-Sarjapur Outer Ring Road,1260 sqft
Sarjapur Road,1.80 Cr,Residential Plot,3050 sqft
APMC Yard,1.40 Cr,3 BHK 1699 Sq-ft Flat,1600 sqft
Chinnapanna Halli,68.5 Lac,2 BHK Builder Floor,900 sqft
Jaya Nagar Block 7,3.30 Cr,2 BHK Residential House - 1575 Sq-ft,1475 sqft
Hosur Road - Electronic City,45.2 Lac,2 BHK 1160 Sq-ft Flat for Sale in Hosur Road - Electronic City,950 sqft
Ramamurthy Nagar,64.0 Lac,2 BHK 1192 Sq-ft Flat/Apartment for Sale in Ramamurthy Nagar,950 sqft
Haralur Road,1.35 Cr,3 BHK 1755 Sq-ft Flat,1400 sqft
Cooke Town,65.0 Lac,2 BHK 1125 Sq-ft Flat/Apartment for Sale in Cooke Town,1100 sqft
Rajarajeshwari Nagar,43.3 Lac,2 BHK 1140 Sq-ft Flat for Sale in Rajarajeshwari Nagar,821 sqft
Electronic City,66.3 Lac,2 BHK Flat for sale in Electronic City,1000 sqft
JP Nagar,1.25 Cr,3 BHK Flat for sale in JP Nagar,1250 sqft
Tumkur Road,83.8 Lac,3 BHK 1657 Sq-ft Flat,1128 sqft
Sarjapur Road,25.8 Lac,2 BHK 880 Sq-ft Flat for Sale in Sarjapur Road,880 sqft
ECC Road,74.0 Lac,3 BHK 1645 Sq-ft Flat/Apartment for Sale in ECC Road,1350 sqft
Ramagondanahalli-Whitefield,3.70 Cr,4 BHK Villa,4000 sqft
Horamavu,1.24 Cr,3 BHK Flat for sale in Horamavu,1405 sqft
Hosur,23.5 Lac,Residential Plot,1505 sqft
Nallurhalli,88.0 Lac,3 BHK Builder Floor,1400 sqft
JP Nagar,1.05 Cr,2 BHK Flat for sale in JP Nagar,1225 sqft
Malur,12.0 Lac,Residential Plot,1200 sqft
Rajaji Nagar,1.40 Cr,2 BHK Flat for sale in Rajaji Nagar,950 sqft
Kammasandra,36.0 Lac,3 BHK Builder Floor,995 sqft
Panathur,79.5 Lac,2 BHK Flat for sale in Panathur,890 sqft
Thanisandra,55.0 Lac,2 BHK Flat for sale in Thanisandra,1000 sqft
New BEL Road,1.60 Cr,3 BHK Builder Floor,1600 sqft
Kumaraswamy Layout,2.0 Cr,5 BHK Residential House,3500 sqft
Yeshvantpur Industrial Suburb,1.10 Cr,2 BHK Flat for sale in Yeshvantpur Industrial Suburb,1300 sqft
Whitefield,58.5 Lac,2 BHK 1300 Sq-ft Flat,1040 sqft
Attibele,45.2 Lac,3 BHK 1505 Sq-ft Flat for Sale in Attibele,1505 sqft
Varthur,52.0 Lac,2 BHK Builder Floor,930 sqft
Sadashiva Nagar,5.83 Cr,3 BHK Penthouse,2694 sqft
Mallasandra Village,95.0 Lac,3 BHK 1842 Sq-ft Flat/Apartment for Sale in Mallasandra Village,1600 sqft
Girinagar,1.30 Cr,3 BHK 1650 Sq-ft Flat/Apartment for Sale in Girinagar,1500 sqft
Devanahalli,1.50 Cr,Residential Plot,5000 sqft
Marasandra,32.0 Lac,2 BHK 845 Sq-ft Flat/Apartment for Sale in Marasandra,845 sqft
Jakkuru Village,90.0 Lac,3 BHK Flat for sale in Jakkuru Village,1205 sqft
VV Nagar,1.50 Cr,3 BHK Residential House - 3800 Sq-ft,3600 sqft
Whitefield,97.0 Lac,2 BHK 1473 Sq-ft Flat,1473 sqft
Whitefield,75.0 Lac,3 BHK Flat for sale in Whitefield,1422 sqft
Yelahanka,3.50 Cr,3 BHK Villa,4148 sqft
Ayappa nagar -KR Puram,73.5 Lac,3 BHK Builder Floor,1102 sqft
Uttarahalli,1.06 Cr,3 BHK 1750 Sq-ft Flat,1220 sqft
Konanakunte,1.15 Cr,2 BHK Flat for sale in Konanakunte,1150 sqft
Bharathi Nagar,1.50 Cr,4 BHK Penthouse,1800 sqft
NRI Layout,47.5 Lac,2 BHK Flat for sale in NRI Layout,1250 sqft
Sanjay Nagar,96.8 Lac,2 BHK Flat for sale in Sanjay Nagar,1100 sqft
Chandapura,1.50 Cr,4 BHK Residential House,3400 sqft
Kanakapura Road,99.0 Lac,3 BHK Flat for sale in Kanakapura Road,1763 sqft
Electronic City Phase 2,43.7 Lac,2 BHK 1040 Sq-ft Flat for Sale in Electronic City Phase 2,850 sqft
Devanahalli,11.3 Lac,Residential Plot,1200 sqft
Virupakshapura,60.0 Lac,2 BHK 1050 Sq-ft Flat/Apartment for Sale in Virupakshapura,840 sqft
Banashankari,2.0 Cr,3 BHK Flat for sale in Banashankari,1860 sqft
Bannerghatta,5.0 Cr,5 BHK Villa,5050 sqft
ECC Road,1.08 Cr,3 BHK Builder Floor,1827 sqft
Kanakapura Road,1.75 Cr,4 BHK Flat for sale in Kanakapura Road,2250 sqft
Kanakapura Road,68.8 Lac,3 BHK 1640 Sq-ft Flat,1400 sqft
Yelahanka Dodda Ballapur Road,42.0 Lac,3 BHK Flat for sale in Yelahanka Dodda Ballapur Road,1075 sqft
Electronic City,85.0 Lac,4 BHK Villa,900 sqft
Sahakara Nagar,1.25 Cr,3 BHK Flat for sale in Sahakara Nagar,1498 sqft
Sarjapur Road,1.40 Cr,2 BHK Flat for sale in Sarjapur Road,1355 sqft
KEB layout-Sanjay Nagar,1.20 Cr,2 BHK 1573 Sq-ft Flat/Apartment for Sale in KEB layout-Sanjay Nagar,1400 sqft
Kanakapura Road,35.0 Lac,2 BHK 987 Sq-ft Flat for Sale in Kanakapura Road,900 sqft
Unknown,16.0 Lac,Residential Plot,1200 sqft
Malleshwaram,2.85 Cr,3 BHK Flat,2215 sqft
Old Madras Road,1.59 Cr,3 BHK Flat for sale in Old Madras Road,2097 sqft
JP Nagar Phase 6,1.15 Cr,3 BHK Flat for sale in JP Nagar Phase 6,1580 sqft
Sarjapur,23.6 Lac,2 BHK 810 Sq-ft Flat for Sale in Sarjapur,565 sqft
Whitefield,1.48 Cr,3 BHK 2280 Sq-ft Flat,1710 sqft
Sarjapur,2.75 Cr,4 BHK Villa,2700 sqft
Hosa Road,74.0 Lac,3 BHK 1518 Sq-ft Flat,1098 sqft
Hebbal,64.4 Lac,2 BHK 1214 Sq-ft Flat,950 sqft
Kogilu,43.4 Lac,2 BHK Builder Floor,757 sqft
Hennur,1.20 Cr,3 BHK 1846 Sq-ft Flat,1335 sqft
Himagiri Meadows,50.0 Lac,2 BHK Flat for sale in Himagiri Meadows,1211 sqft
Kadugodi,1.20 Cr,3 BHK 2409 Sq-ft Flat/Apartment for Sale in Kadugodi,1774 sqft
Electronic City,68.0 Lac,3 BHK Flat for sale in Electronic City,1200 sqft
Old Madras Road,56.0 Lac,2 BHK Flat for sale in Old Madras Road,1050 sqft
Thanisandra,1.59 Cr,3 BHK Flat for sale in Thanisandra,1500 sqft
Kammasandra,40.0 Lac,2 BHK 1248 Sq-ft Flat/Apartment for Sale in Kammasandra,1040 sqft
Dr.Shivaram Karanth Nagar,1.01 Cr,3 BHK 1466 Sq-ft Flat/Apartment for Sale in Dr.Shivaram Karanth Nagar,1149 sqft
Jakkur,75.0 Lac,3 BHK Builder Floor,1600 sqft
Harsha Layout,98.0 Lac,3 BHK 1430 Sq-ft Flat/Apartment for Sale in Harsha Layout,1130 sqft
Thambuchetty Palya,75.0 Lac,2 BHK Builder Floor,1000 sqft
Kothanur,70.0 Lac,3 BHK Builder Floor,1310 sqft
Navodaya Nagar,1.0 Cr,3 BHK 1508 Sq-ft Flat/Apartment for Sale in Navodaya Nagar,1508 sqft
Thanisandra,1.10 Cr,4 BHK 2500 Sq-ft Flat/Apartment for Sale in Thanisandra,2500 sqft
